feature,gain,split
wins,202.35919570922852,2
places,152.17916524410248,3
top4_rate,51.28363907337189,4
avg_finish_pos,28.110315412282944,3
weight_lbs,26.840900421142578,1
rating,26.293879985809326,3
draw_pct_in_field,17.000369548797607,3
weight_pct_in_field,14.155945435166359,3
draw,8.289850234985352,1
l6_recency_avg,6.3102898597717285,1
best_finish_at_conditions,1.5198500156402588,1
l6_consistency,0.6746249794960022,1
recent_form_l5,0.3759880065917969,2
distance,0.0,0
l6_n,0.0,0
field_size,0.0,0
l6_worst,0.0,0
l6_avg,0.0,0
l6_top3_count,0.0,0
l6_top3_rate,0.0,0
l6_win_count,0.0,0
l6_best,0.0,0
gear_has_SH,0.0,0
gear_has_PB,0.0,0
gear_has_V,0.0,0
gear_has_TT,0.0,0
gear_has_B,0.0,0
gear_count,0.0,0
l6_last_pos,0.0,0
l6_win_rate,0.0,0
top4_count,0.0,0
starts,0.0,0
rating_pct_in_field,0.0,0
consistency_std,0.0,0
days_since_last_run,0.0,0
n_meetings_with_results,0.0,0
venue,0.0,0
surface,0.0,0
